,,Antarctica,Argentina,Australia,Canada,China,Greenland,India,Italy,Japan,Kenya,Malaysia,Mongolia,New Zealand,Nicaragua,Panama,Peru,Puerto Rico,Russia,Scotland,Tanzania,USA,Brazil,Norway,North Atlantic Ocean,Arctic Ocean,Mexico,Gulf of Mexico,Norway,England,Sweden,Germany,Belize,Ecuador,Venezuela,Costa Rica,Spain,
Water (saline),Saline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,11,2,0,0,0,0,0,0,0,0,0,0,22
Sediment (saline),,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,17,1,1,19,0,0,0,0,0,0,48
Hypersaline (saline),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface (saline),,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
Water (non-saline),Non-saline,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,202,2,0,0,0,5,0,0,0,0,58,0,0,0,0,0,324
Sediment (non-saline),,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Soil (non-saline),,93,4,204,43,19,5,1,48,309,122,52,227,23,60,36,4,26,40,453,128,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3501
Surface (non-saline),,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
Aerosol (non-saline),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,43
Animal distal gut,Animal,,1,663,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,31,27,0,0,0,0,0,0,0,0,1,19,2,12,60,0,822
Animal proximal gut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,20
Animal secretion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,179
Animal surface,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,66,3,603,1254
Animal corpus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Plant surface,Plant,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Plant rhizosphere,,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610
Plant corpus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7360
